Id,AnConstructie,NumarEtaje,Monument,StructuraTip,RiscZidarie,RiscStructura,NrApartamente,NrPersoaneZiua,NrPersoaneNoaptea,NrAngajati,NrVizitatori,avariere
351,1890,2,1,2,100,000,0,0,0,0,0,4
352,1900,0,0,3,110,010,0,0,0,0,0,3
354,1884,1,1,3,010,010,4,12,12,0,0,3
355,1880,1,1,3,110,010,2,6,6,0,0,3
356,1920,7,0,9,000,000,0,0,2,0,0,2
357,1907,3,1,5,000,000,0,0,2,60,0,3
358,1900,2,0,9,110,000,0,0,1,8,150,3
359,1900,7,1,9,110,000,0,0,2,0,0,3
360,1938,6,0,9,000,000,0,0,2,0,0,3
361,1900,4,1,1,000,000,0,0,2,0,0,3
362,1935,5,0,1,110,010,20,50,50,0,0,2
363,1905,0,1,3,001,101,0,0,0,0,0,3
364,1880,5,1,9,000,000,0,0,1,0,0,3
365,1930,6,1,5,000,000,0,0,1,0,0,3
366,1940,6,0,1,000,000,28,62,62,0,400,3
368,1940,8,0,9,100,000,27,83,83,0,0,3
369,1935,8,1,1,110,010,36,89,89,0,0,3
370,1833,1,1,2,000,000,0,0,1,6,30,3
371,1936,10,0,1,110,010,32,93,93,0,0,3
372,1891,2,1,3,110,010,0,0,1,0,0,3
374,1950,3,0,5,000,000,0,0,1,0,0,3
375,1915,4,0,3,110,010,0,0,2,0,0,3
376,1683,0,1,3,000,000,0,0,0,0,0,3
377,1906,3,0,5,110,010,0,0,0,0,0,0
378,1977,7,0,1,000,000,28,60,60,15,200,2
379,1920,2,0,3,110,010,0,0,0,8,200,3
381,1920,3,0,5,110,000,0,0,1,0,0,3
383,1913,5,0,1,110,000,6,15,15,0,0,2
384,1950,2,1,1,000,000,0,0,15,0,0,2
385,1911,3,1,5,000,000,0,0,5,0,0,3
386,1940,4,1,5,100,000,0,0,1,3,50,3
388,1940,7,0,9,000,000,0,0,0,0,0,2
389,1940,3,0,5,000,000,0,0,10,0,0,2
392,1940,2,0,2,110,010,0,0,1,0,0,3
394,1977,8,0,1,100,000,36,108,100,0,200,1
400,1900,1,0,3,110,000,0,0,5,0,0,3
401,1900,2,0,3,100,000,3,10,10,0,0,4
402,1870,2,1,3,000,000,3,8,8,4,150,3
403,1900,1,1,3,100,000,4,12,12,0,0,3
404,1899,2,1,6,100,000,12,30,30,0,0,2
405,1899,1,1,3,101,001,2,5,5,0,0,3
406,1900,1,0,1,100,100,0,0,0,0,0,3
407,1899,1,1,3,110,010,0,0,0,0,0,3
408,1900,2,0,1,000,100,0,0,1,0,0,3
409,1890,0,1,3,000,000,0,0,0,0,0,3
540,1910,4,1,1,000,000,0,0,0,0,0,4
541,1900,2,0,1,100,000,0,0,0,0,0,3
542,1900,1,0,1,000,000,0,0,0,0,0,1
543,1910,1,0,3,100,000,0,0,0,0,0,4
544,1890,2,1,3,110,010,0,0,2,0,0,4
545,1936,5,0,1,110,000,0,0,0,0,0,3
550,1900,1,1,5,000,000,0,0,0,0,0,2
551,1900,4,0,4,000,000,0,0,2,0,0,3
552,1890,1,1,3,000,000,0,0,0,0,0,0
555,1900,5,1,2,110,010,0,0,0,0,0,3
