Id,AnConstructie,NumarEtaje,Monument,StructuraTip,RiscZidarie,RiscStructura,NrApartamente,NrPersoaneZiua,NrPersoaneNoaptea,NrAngajati,NrVizitatori,avariere,VULNERAB
5,1963,8,0,1,000,000,28,58,58,25,0,1,E
6,1819,1,1,2,010,110,0,0,0,0,0,3,B
7,1900,2,0,7,100,011,0,0,0,0,0,0,F
8,1940,1,1,1,110,011,0,0,0,0,0,0,G
9,1900,2,0,3,110,001,9,25,25,0,0,3,B
10,1846,2,0,3,110,011,0,0,10,6,150,3,B
11,1940,3,0,8,100,011,0,0,0,0,0,1,E
12,1900,6,0,1,100,000,36,140,80,2,0,3,B
14,1890,2,0,2,111,010,4,8,8,0,0,4,A
16,1940,1,0,3,110,010,3,10,5,1,0,3,B
17,1900,1,0,3,000,000,4,12,12,4,100,3,B
19,1900,1,0,3,000,000,6,20,20,0,0,3,B
21,1890,0,0,2,000,000,0,0,0,0,0,3,B
22,1880,2,0,5,100,000,0,0,20,0,0,3,B
23,1883,2,0,4,000,000,0,0,2,0,0,3,B
24,1890,4,0,5,100,001,0,0,20,0,0,3,B
25,1890,4,0,1,100,001,0,0,10,0,0,3,B
28,1890,2,1,5,000,000,0,0,0,0,0,4,A
29,1900,2,0,1,110,011,0,0,10,0,0,3,B
30,1890,1,0,3,110,000,0,0,0,4,10,3,B
31,1900,8,0,5,111,000,0,0,50,0,0,3,B
32,1900,6,0,1,110,001,0,0,50,2,50,3,B
35,1890,3,0,1,111,000,12,36,30,0,0,3,B
36,1890,4,0,1,110,010,20,40,40,0,0,3,B
37,1890,8,0,1,000,010,0,0,100,0,0,3,B
38,1900,1,0,2,000,000,2,8,8,0,0,3,B
39,1900,3,0,1,000,000,35,75,75,1,15,3,B
40,1890,5,0,1,100,000,48,90,90,0,0,3,B
41,1995,0,0,9,000,000,0,0,0,0,0,2,C
42,1900,5,0,1,100,000,12,30,30,0,0,3,B
43,1900,3,0,1,000,000,12,35,35,0,0,3,B
45,1900,1,0,2,000,000,1,2,2,0,0,3,B
46,1900,4,0,1,110,010,0,0,0,0,0,3,B
47,1900,2,0,2,100,010,4,16,16,0,0,4,A
48,1890,3,0,2,111,011,12,25,25,0,0,4,A
49,1900,2,0,3,110,000,4,10,10,0,0,3,B
50,1900,3,0,3,100,000,3,8,8,0,0,3,B
51,1900,3,0,3,000,000,3,12,12,0,0,3,B
53,1900,6,0,1,000,000,0,0,2,0,0,1,D
54,1900,2,1,3,100,000,0,0,0,0,0,3,B
55,1900,2,0,2,110,011,6,20,20,0,0,3,A
56,1900,2,1,3,100,000,6,24,20,2,100,3,B
57,1900,5,0,1,000,000,0,0,0,0,0,4,B
58,1900,1,0,3,100,000,0,0,1,0,0,3,B
59,1900,2,1,3,100,001,4,15,15,1,25,3,B
60,1900,2,1,3,110,000,4,15,15,2,0,3,B
61,1900,1,1,3,100,001,0,0,0,2,40,3,B
62,1900,2,1,2,000,000,3,12,12,0,0,3,A
64,1890,1,0,2,110,011,2,6,3,0,0,4,A
65,1900,3,0,2,100,110,3,6,6,0,0,4,A
67,1900,2,1,3,111,111,12,48,48,0,0,4,A
68,1900,3,1,3,100,000,5,15,15,0,0,4,B
69,1900,1,1,3,111,001,4,12,12,2,10,3,B
70,1900,2,1,2,110,011,0,0,0,1,100,3,A
71,1900,2,1,2,111,011,0,0,0,0,0,4,A
72,1900,1,1,2,110,001,4,16,16,0,0,4,A
73,1900,1,1,2,111,000,0,0,0,0,0,4,A
74,1900,1,1,2,000,000,0,0,0,0,0,4,A
75,1900,1,1,3,110,000,4,12,12,4,70,4,B
76,1900,2,0,2,100,000,2,6,6,0,0,3,A
77,1849,2,1,3,000,000,0,0,10,0,0,3,B
83,1900,1,1,2,110,000,1,4,4,0,0,4,A
84,1900,2,1,3,110,001,4,15,15,0,0,3,B
