,Corelatii,Corelatii2,P-values
root1,0.9959114053116008,0.9918395272297277,1.761280010725841e-11
root2,0.9940379631212383,0.9881114721262202,3.720515224792109e-07
root3,0.9828405241280863,0.9659754958683714,0.0009856276973085887
root4,0.9621400420801518,0.9257134605739963,0.05585844536721474
root5,0.901703458065622,0.8130691262875009,0.355017907270505
root6,0.8930747834531618,0.7975825688399119,0.567531875018521
root7,0.8519292346088366,0.7257834207811982,0.8265183917460042
root8,0.7567984127450655,0.5727438375334506,0.9528643011047336
root9,0.7078129559013843,0.500999180541855,0.9745039098710935
root10,0.5748210888818432,0.3304192842233079,0.9890464487896505
root11,0.45660892245895757,0.2084917080691303,0.9800933114024926
root12,0.4305769439127519,0.18539650462924512,0.883874074798152
