,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12
I1,-0.3238553090817348,0.20195837245720635,0.48710915915953906,-0.15968274517703415,0.5164738776490571,-0.021569886154687787,-0.06890337316470405,-0.07975786855329552,-0.4777370487371172,-0.2540767761480552,0.14205672783137357,0.01641078856751631
I2a,-0.1793539931666571,0.020277314848557215,-0.467301588332265,-0.4605292580610339,-0.15128590408734627,-0.24529231759907832,-0.15040168712228394,0.2853635854706819,0.5151637731026611,0.07806512079640195,0.15929018523617378,-0.2302020310165308
I2b,-0.03147889908520951,0.632112993745718,0.4090669990806471,0.14457543855049484,-0.14559463223209068,0.1305870494944512,-0.26384743410531264,-0.29358113694703203,-0.30089829389096123,-0.09760535804013597,0.21116570487964886,0.26924097736750413
R1a,-0.35117576198582223,-0.3280038042176687,-0.1612604781111163,0.025528027775603417,0.39034803429626763,0.4444501129804696,0.04032112390928653,-0.09398406550049332,0.5607943038937602,-0.2166580844017156,-0.09668616888932845,0.10624022839890811
R1b,0.19078270521653182,0.32278150928471583,0.6913778840934547,0.24139984406947573,-0.4515663819271309,0.004979305633111414,-0.13835642887057453,-0.1504415870131533,-0.18703097283418066,0.19484672489549967,-0.06613912550802598,0.010218371438925697
G,0.6801592743359819,0.1340210958955591,-0.17599134778308015,0.21623469192747805,-0.3648596148952821,0.06679763895870934,-0.1566634527816704,-0.10006276343135914,-0.13591120904450313,-0.11614541459913998,0.4579444357897828,-0.1669614726219067
J2,0.8099097858994574,-0.07249414514407283,-0.4490218229337156,-0.017585478111706007,-0.10432320832242632,-0.23067049095919442,-0.13706255709265147,0.13126890677480121,-0.10893155943977674,-0.11844477252528136,-0.08668940311030572,-0.05779889345094231
J1,0.8121426783863676,0.028219415427012586,-0.31990936606320314,-0.015978080682706855,-0.2388512418173824,-0.20020258291427578,0.25063527648414924,0.036650002156512616,0.017585494910410643,-0.20432268337959,-0.02200304219117851,-0.18220108709651472
E1b1b,0.44856379458497686,-0.013526638184661747,-0.6174671085620803,-0.3257072095765725,-0.43625630546665073,-0.211159884335455,-0.14030679020362835,0.00015943159042260195,-0.12161649085523323,-0.10711701475919996,-0.12830203041077576,-0.11805345148165103
T,0.7630975414074678,-0.1250916638128935,-0.29382386372400304,-0.018749298071630515,-0.007254431586567667,0.24585383333705976,0.07107698508131856,0.25150838671449227,-0.19414424905479205,0.3131579675758815,-0.10279785855889231,-0.20054370224160614
Q,-0.284901326844792,-0.11362822723986186,0.1934416831902243,-0.5660176245579854,0.029225066840838348,0.16396977431845153,-0.1945552099527377,0.3545079258491535,-0.034366866405251745,-0.12834174247330643,0.4593609919606129,0.35803802576893223
N,-0.4073808930163457,-0.37532555311050136,-0.1405121437917463,0.21199134670331626,0.41852172510123964,-0.07666538577735682,0.5274020090932043,0.010912754894607326,-0.23511639314592647,0.2971181193560366,0.00939262149341583,0.15978248924798288
