,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12
L,0.47753112023849,-0.046879809539234193,0.21415994917908202,-0.09759291284716938,-0.4210739319420294,0.061014703798896945,0.32878252127267804,0.1180791061007227,-0.16537228649998512,0.06243738767968229,0.11327249452254809,-0.09550266110217366
HV,0.2516038451048978,-0.1812562546809778,-0.17322381434654524,-0.07338104171447836,-0.01656308967828852,0.05208919033953004,0.05593922393754521,0.058420699394205966,0.5171255954121456,-0.22100624161623753,-0.0034783523878957764,-0.016388037415704538
H,-0.415865824005953,0.23297775310370572,0.18634436512556096,-0.1410387962281157,-0.36421060497541907,0.3393967574524352,-0.2420829735242851,-0.0958639870092172,-0.32778281233671563,0.2357376589667554,-0.23524078261461118,0.1745866569568058
H1_H3,0.00682177706162937,-0.011197594715274805,0.8238156697119033,-0.19666961499143273,0.009359240621919344,-0.0018597305474890545,0.22587656789062488,0.17575863340340173,-0.27707814925113033,0.15426721897032764,0.06971387671900028,-0.024831738606620045
H5,-0.09399834773044995,0.011187695750608155,-0.320297079237907,0.06392821004047053,0.027621448280970025,0.14950024195348058,-0.2698645646739086,0.03319455191157472,0.3900593193104305,0.2819030860321092,0.17910104321397538,-0.17577672897266122
HV0_V,-0.5375194604124471,0.21258117346579194,0.15334029194329235,0.22362241116167436,-0.3011730659680671,-0.22237377428584718,0.15088178285254403,0.18940281511217497,0.049587689374012915,0.07060680163875624,-0.1451798352250668,-0.2008516100468574
J,-0.15928003535988441,0.5708213260254381,0.21414193258302086,-0.10556812737959914,0.28687832989157974,0.24859835370403818,-0.36062204819493626,-0.2737176144096673,0.10839804849653648,-0.12580843776777828,0.14810272074457845,-0.07114816451106842
T1,0.029213561225054824,-0.2769511977710984,-0.5540945618511013,-0.08369588616338823,-0.49178540143287397,0.05219202998130873,-0.2011292291247009,-0.24301463251712493,-0.2741481676058094,-0.24713404567236594,0.07047586522484471,0.014110342579532134
T2,0.10144069382792079,0.41768438754541504,0.2439162759296414,0.4556866305742269,-0.010329481330789628,0.5504315530211079,-0.017816684347869132,-0.0383382703709862,0.09545205766685824,-0.20175072646195724,0.09001988932990794,0.10888985453446108
U2,-0.23431547993187427,-0.13197625855410822,-0.22054345347029902,0.09779971506202056,-0.22012325364199772,0.050721050596626994,-0.15318246219613174,-0.144645127597499,0.05988457314318817,-0.057434570659777404,-0.24018168562567288,0.019471046383792313
U3,0.7801396427959556,-0.16595169118283684,-0.2750610499488376,0.051020412438918424,0.16388882941524643,0.045544948771607564,0.041344550960622124,0.0014301522355463804,0.14639908096590354,0.21881100054673028,-0.03790152206851577,0.13763251536936685
U4,-0.23649199274748356,-0.10002491059461377,-0.2626182095746907,0.06879696011929139,0.10211333579956694,0.4128208165365368,0.09387152000486433,0.3325540837035736,0.22460696300578264,-0.06873722178123115,0.009597845414589667,0.2256372512742825
U5,-0.7238872522354731,-0.31995996107618585,0.03180289917797456,0.04298276094670696,0.3444470814746692,-0.00554035695669175,0.2693394457443857,0.06509001829603228,-0.23368868444112262,0.14720146622863006,0.09715329151212031,-0.19293680775429523
U,0.5836892279851871,-0.10437972951142245,-0.10714230109330856,-0.05462427835865766,0.09506778014365687,-0.17361436382426254,0.17857604643190936,-0.05067616213015285,0.13194221881307294,-0.25228984843556734,-0.1907310844786386,-0.026769318169155613
K,0.6482644025676702,0.3039886451908958,0.2906481382645036,0.17072887499510928,0.017425755692238035,-0.4299980424271136,-0.14991003956037516,0.17697237117049966,-0.09352015461539602,-0.15328202722497083,0.04733876208581235,-0.0244773031444777
Eu,-0.2548168494876937,-0.08592277166612627,0.10533961125534948,-0.02818668890302186,0.34901207408242974,-0.34933709909014304,0.19748691203993687,0.27196265697421784,0.05859713239722822,0.16546138800948534,-0.050647001534515144,0.36642940951068304
W,-0.25192895123429565,-0.0749526090011562,-0.3360365709987574,0.18464186813474268,0.21225539680840436,-0.5502499877136114,0.5122641942572091,-0.03802756642397108,-0.02132475420282951,0.08697695014294865,0.030566472835985334,-0.2898513475351075
X,0.6143067059194188,-0.1502157485210535,-0.29158656267501243,-0.10811407549263334,-0.02170676098371267,0.004672799609642677,-0.16424675610428954,-0.13183722227594527,-0.2551725897096066,-0.0035391428432048756,-0.2798093959342125,-0.276537493205747
Alt,0.4145960588344263,-0.3483066581851619,-0.4596221242504047,-0.17627636934092858,0.11235873396704389,-0.1695544982403976,-0.14291209059766838,0.20181016555454537,0.31376824471712145,-0.03387843625609251,0.2600705247763914,0.10462802918290412
