,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
Romanian,0.9176091870868431,0.0036532770809690274,0.02662244274139523,0.0001170703415583881,9.452846692689658e-05,1.947142771368613e-05,5.050013447447893e-05,0.0003474443447230005,0.00024734764376659074,1.8474611799510338e-05,2.277948337535726e-05,0.0002941971466714509,0.001547392525928354,0.00039086199827806573,0.0036876731614813394,0.005411585290317514,0.00937257201359705,0.0061973362259524776,2.9024015122039087e-05,0.024218503414909952,3.7908041124496295e-05,1.0422803072235767e-05
Hungarians,0.03545275294979109,0.09809613041081294,0.018987675874856634,0.49142809714250413,0.001352981856095894,0.026256706545394973,0.04214552674194648,6.858227496800293e-06,0.00022899885013041732,0.07647105356929036,0.1427958066233703,0.03833328667509418,0.003516146975396661,0.011738721624407006,0.012186483979974294,0.0004888273056871347,0.00040843010724590236,1.1284076246046864e-05,1.2241783030521698e-05,5.741053551033254e-05,2.4297286188513203e-05,2.808595277186457e-07
Romany,0.5936216861698946,0.004705775401922874,0.04430304927648024,0.010951330322132248,0.0008452022272940785,2.074355329646639e-05,0.00012115029940352379,0.0010868897870101551,0.0015879119984308055,0.00010276700317059554,0.00786503438847001,0.0019946965736877555,0.025112728644392516,0.2989639715181597,0.005657084253536331,0.0009836994890259066,0.0014548547785330035,0.00013825547979377036,4.036248277023531e-05,0.0004285344080287743,1.4152673677645305e-05,1.1927088883855727e-07
Ukrainians,0.0013807949662994464,0.0019916537291814747,0.0019785064741326738,0.020807577006859992,0.6842117436105775,0.19631171354528945,0.0022188604172648147,0.06083700017614296,0.025298993805294014,0.0035296254615802174,2.5710089164822687e-05,0.001224141544755801,3.390656658609202e-05,0.00013062056770587113,1.2163349965470235e-05,2.9070118437178432e-06,6.874370600181763e-08,2.8779805234880367e-06,1.1383203019453198e-07,8.336448286886658e-07,1.278755837411341e-07,5.960068478932485e-08
Germans,0.2082965122631904,0.3590321488548114,0.19609746285462887,0.0032608384607348074,0.000118050146282217,0.0004622605664580209,0.006491939583315238,0.00020550820491225616,0.00010995395179696307,0.0013816767573164755,5.142338583063784e-06,0.1019219023333072,2.889137189440198e-05,0.0007635278050051364,0.09032098171093128,0.017018780378534985,0.011798484644137732,0.0026159515847956148,3.438566261548102e-10,3.837770662511426e-05,2.9804771853953596e-05,1.8033670269432137e-06
Turks,0.2575564929236022,0.4102010386456855,0.2523345340184515,0.0029151288295498814,3.3627039902928775e-05,0.00020661581855651453,2.9431981308576634e-07,0.0010609183868773616,0.0043223808300593535,9.507124901471331e-05,0.002191282276023179,0.0005588565124793692,0.0011179182414483603,0.0003107846820928957,0.0006425772591163468,0.029048114984698854,0.01583311507677213,0.00025312122771613775,0.02127981387478499,1.1068274274464726e-06,3.720684472092739e-05,1.3120236197667372e-10
Russians_Lippovans,0.06872837686297192,0.022475919171031394,0.0010652919511667522,0.01906275733332332,0.013384639273975405,0.0009074525555292861,0.00013911511833888994,0.050912456986553146,0.718249716849145,0.06992163551127108,0.01317181943376073,7.72247316598336e-05,0.021044134687875388,0.00048682585611072043,1.6267815656705936e-05,2.1603295234532544e-05,0.0002436676593422643,2.736570281145993e-07,7.730763120419633e-05,1.343658331851828e-05,6.24958942934436e-08,1.4539614210029963e-08
Tatars,0.09789929007112924,0.46673264653952773,0.3780110806314124,0.006460078336915973,3.9408682244877535e-05,0.0004378998240692286,6.634207777330437e-05,0.002266912737771525,0.007253449990514185,9.886222043513141e-05,0.003001458421781692,0.000780062800330776,0.00020691594274696215,0.0005297537202593609,0.0007879318764547882,0.002425621958576788,1.9301357016271334e-05,0.00021531660884277146,0.0327486377939504,2.170699613543926e-07,6.846810421867145e-06,1.196452786534274e-05
Serbs,0.05897060960412645,0.3459328067836558,0.319607676934644,0.03649471258865686,0.0001752550842125524,0.004307994465393787,1.5014454959565747e-06,9.645374314074592e-06,2.3341061175585453e-06,2.3216751130635578e-05,0.0039745071318394365,0.10486050509035849,0.0007229285112341192,5.797851041899911e-07,0.12246894750129268,0.0020181358000411712,0.0002332155653582469,2.849872601292482e-05,1.1242634853196425e-06,0.00013006451642658397,3.1842922888415446e-05,3.897048205972371e-06
Slovaks,0.0029336035000312862,0.02308860700827094,0.017437584209113444,0.156375616517722,0.0014381454120083173,0.009451291074500953,0.6365721221808336,0.0006907172080227302,0.03127375359640153,0.09754141002676724,0.021306698771988174,0.0016925731959006012,5.278594663666476e-06,7.758240505991217e-05,4.61313988210102e-05,1.3933683996963605e-05,1.516525224630433e-05,3.629798254950627e-05,3.518208903960306e-08,3.355103010759779e-06,2.560296685820327e-08,7.209303779143823e-08
Bulgarians,0.037764806932151514,0.09198043404682382,0.07324488223215209,0.05550510113046197,0.00018924487439700901,0.026242233500623224,0.020488092358519866,0.0003176077185346823,0.012145922143939338,0.40526888866196686,0.17731844671477648,0.09818076753089958,3.1222732892588455e-05,0.0006555090735168977,0.000648566425890581,7.400461549144346e-06,1.8476406596969765e-06,8.630767612307783e-06,2.600811446473484e-09,3.204595275449342e-07,6.175936339039497e-09,6.581635852692406e-08
Croats,0.0001935912281431332,0.0019467095800930697,0.0020753378281193093,0.05105407110385587,0.22853086292179717,0.70539986810829,0.002641826037725127,0.0001252753684843368,0.004836912777969817,0.0009089869619696759,0.0004845082566094314,0.0017532740042373218,5.331574194791323e-07,1.576046258628611e-05,5.089036380215809e-06,1.857904159149317e-06,4.57008078887879e-06,1.4736510965360342e-05,4.2017161633388993e-07,1.7888855929297243e-06,2.9595155551388994e-06,1.0600976430639235e-06
Greeks,0.4607771607880565,0.013344644625504862,0.010942374636900674,0.004474910217355179,0.0001060363954445163,0.0003532059120260426,0.00031666056673456864,0.00589547453240189,0.018343860286409483,0.0008953830243194093,0.0003907925284722683,0.0003865457202781481,0.4754270729457553,0.007595180416172155,4.437219622346963e-06,1.0313220911995356e-05,0.0005902070668605674,0.00011886288224450347,9.520822706002262e-06,1.576942103452655e-05,1.5781032867192723e-06,8.667498783725803e-09
Italians,0.7857712166027674,0.09122512250107936,5.203210434724768e-05,0.006365933933195755,3.7389037538184882e-06,7.589694419155137e-05,0.00037709473463937946,0.00012949691715807306,7.493858761124516e-05,0.00023952330829899276,0.0003339585076940231,0.009050465402499638,0.001212111949934877,0.001226265692234148,0.019678698985144075,0.0198602612599091,0.025283890932872748,0.03745619564168457,0.00014363120877334428,0.0012434486852096478,2.949669277227704e-05,0.00016658050422357958
Jews,0.8847312788541642,0.011083529090198916,0.06851205566023294,8.564865549575447e-05,0.00017624328442522429,8.370447466621949e-06,0.0001945804239270645,0.00015483537010445197,0.002652070378581533,0.00010431705360675636,0.00027362261600447356,6.752705506010893e-06,0.0022287049795414716,0.012337816154981234,0.00010177767045199438,0.0035120177197235816,5.293971631294654e-05,0.0039798027384138936,0.0002035393318496117,0.003263699164287922,0.00035362134272872125,0.005982776641992984
Czechs,0.014439234119986367,0.06904063508936888,0.06830937258144545,0.15559821744243946,0.00856128461214005,0.015641849379790292,0.1970628761035336,0.004396674976084177,0.0663703921713979,0.259339182701332,0.05106475479958105,0.08790933916381675,3.805071968641557e-05,5.409923866908004e-05,0.002158030148153203,1.4750432447663243e-05,7.578350205624482e-09,3.928986852304686e-07,5.3072701812643675e-09,2.1159473932835543e-07,5.75070594422344e-07,6.3870480773773e-08
Poles,0.03633421894024046,0.00313381112640358,0.0017451970217843957,0.010816496252938684,0.061766963546407684,0.007809479935262577,0.005394389898205366,0.836052282986206,0.028088847751767825,0.004358995760313242,0.0022842119736430125,0.0016660771351837192,0.00017662030188838576,0.00031858889576275056,5.0538018567805486e-05,5.682332732891253e-07,1.5511065157745388e-07,2.3507031796686957e-06,4.364687467790249e-08,2.103282681753197e-08,1.417231446856376e-07,5.466985981105857e-12
Chinese,0.733808760645027,3.4483990248328898e-06,0.11708037317828697,0.008072765878632869,0.0005772197350857041,0.0005272700140035858,0.001529335179360474,9.629779200235827e-05,0.006103965544337716,0.0023141176083772024,0.004067562451656639,0.0008533523155470466,0.007692346133051661,0.027125995879116203,0.005017076658840714,0.004213166659804749,0.05861842756403745,0.019492422069716745,0.0008664741631161776,0.001923636967095102,6.177791699962449e-06,9.807372181359087e-06
Armenians,0.893321816518932,0.0476882919173679,0.00856318413787963,0.0016834601596170658,0.00012295277756996394,5.072071487973505e-05,0.0005800463719101322,4.691934657913427e-06,0.004084447599839743,0.000751900550003964,0.0006103293418360545,0.00027178984430684843,0.0032704846940135074,0.008077254292583954,0.0020769326282604897,0.0033762357590467317,0.0009839222842538704,0.004794322116669187,2.0564454255755656e-05,0.00187018863071572,0.017399192755868684,0.0003972705155230595
Csango,0.08447681585545476,0.08157515982662154,0.15098629028744262,0.002357624922190114,0.0003315578112692055,0.0009646474987385935,0.06014947943119815,2.2812165350221865e-05,0.008205129777082338,0.002547987999895523,0.4009951428399133,0.2059977207752877,0.0006684048864267319,0.0005833128825751122,9.553223003342279e-05,2.0393159692378708e-05,1.687335180972455e-05,6.983000964582416e-07,5.995611404803955e-07,3.519772500991135e-06,3.470713576563971e-10,2.963182065941756e-07
Macedonians,0.5703068054128376,0.2406379917964673,0.07683565881958584,0.0001324110384619854,5.438226260898387e-05,5.255866936489733e-06,0.0001534325536037296,5.017554116710831e-05,0.0014849670688562527,0.0003277713659031027,1.3272959341418231e-05,6.671280871440582e-05,0.000975144124118963,0.0025295412902388605,0.003071792754409785,0.07581622729531408,0.019651644903114197,0.0018579679245092462,0.0037432394973580573,5.587193142123718e-05,0.0021752470843022695,5.448570073452812e-05
Another,0.8940187299052952,0.007949185714416374,0.04760382707470905,0.0007107087185625836,0.0004228902401666033,0.00014930830520215228,1.8774431604033194e-05,0.00011406943255741284,0.002963026906615139,0.00022722955591466932,0.0005748523568814892,8.662346849767914e-05,0.0014628999282977643,0.013182705555626763,0.0011112198603572226,0.0020954651455527126,4.825788462880062e-06,0.014249554728496606,0.0007345542907084908,0.002491353277903101,0.00697663579617522,0.0028515595179868266
