,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
Romanian,0.9176091870868431,0.0036532770809690127,0.026622442741395178,0.00011707034155838771,9.45284669268962e-05,1.9471427713686e-05,5.050013447447893e-05,0.0003474443447230001,0.0002473476437665889,1.847461179951037e-05,2.277948337535729e-05,0.0002941971466714496,0.0015473925259283426,0.0003908619982780634,0.003687673161481331,0.005411585290317465,0.009372572013596972,0.006197336225952485,2.9024015122038846e-05,0.024218503414909862,3.7908041124496424e-05,1.0422803072235657e-05
Hungarians,0.03545275294979123,0.09809613041081294,0.018987675874856672,0.49142809714250446,0.0013529818560958939,0.026256706545394904,0.042145526741946646,6.858227496800314e-06,0.0002289988501304165,0.07647105356929082,0.14279580662337102,0.03833328667509416,0.0035161469753966497,0.011738721624406983,0.012186483979974317,0.0004888273056871323,0.00040843010724590063,1.1284076246046924e-05,1.2241783030521645e-05,5.741053551033255e-05,2.4297286188513383e-05,2.808595277186438e-07
Romany,0.5936216861698959,0.0047057754019228645,0.04430304927648024,0.010951330322132235,0.0008452022272940767,2.0743553296466292e-05,0.00012115029940352403,0.001086889787010156,0.0015879119984307966,0.00010276700317059596,0.007865034388470034,0.0019946965736877507,0.025112728644392384,0.29896397151815846,0.00565708425353633,0.0009836994890258998,0.0014548547785329941,0.00013825547979377082,4.0362482770235054e-05,0.00042853440802877353,1.4152673677645379e-05,1.1927088883855624e-07
Ukrainians,0.001380794966299451,0.0019916537291814734,0.0019785064741326764,0.020807577006859992,0.6842117436105769,0.1963117135452888,0.002218860417264822,0.06083700017614309,0.025298993805293907,0.003529625461580236,2.5710089164822803e-05,0.0012241415447557995,3.390656658609189e-05,0.00013062056770587078,1.2163349965470249e-05,2.907011843717827e-06,6.874370600181728e-08,2.87798052348805e-06,1.1383203019453141e-07,8.336448286886655e-07,1.2787558374113495e-07,5.960068478932441e-08
Germans,0.20829651226319124,0.35903214885481144,0.19609746285462928,0.00326083846073481,0.000118050146282217,0.0004622605664580197,0.006491939583315264,0.00020550820491225678,0.00010995395179696269,0.001381676757316484,5.142338583063811e-06,0.10192190233330715,2.8891371894401893e-05,0.0007635278050051349,0.09032098171093145,0.017018780378534906,0.011798484644137682,0.002615951584795629,3.4385662615480876e-10,3.837770662511427e-05,2.980477185395382e-05,1.8033670269432019e-06
Turks,0.25755649292360394,0.4102010386456866,0.2523345340184527,0.002915128829549891,3.3627039902928857e-05,0.00020661581855651453,2.943198130857683e-07,0.0010609183868773675,0.004322380830059349,9.507124901471412e-05,0.002191282276023196,0.0005588565124793705,0.0011179182414483596,0.00031078468209289593,0.0006425772591163497,0.029048114984698788,0.0158331150767721,0.00025312122771613976,0.021279813874784954,1.1068274274464757e-06,3.7206844720927764e-05,1.312023619766732e-10
Russians_Lippovans,0.06872837686297192,0.022475919171031308,0.00106529195116675,0.019062757333323254,0.01338463927397535,0.00090745255552928,0.00013911511833888994,0.05091245698655309,0.7182497168491396,0.06992163551127122,0.013171819433760744,7.722473165983324e-05,0.021044134687875235,0.0004868258561107175,1.62678156567059e-05,2.160329523453235e-05,0.00024366765934226228,2.7365702811459964e-07,7.730763120419568e-05,1.3436583318518228e-05,6.249589429344381e-08,1.4539614210029809e-08
Tatars,0.09789929007112935,0.4667326465395264,0.3780110806314121,0.006460078336915958,3.940868224487742e-05,0.00043789982406922616,6.634207777330443e-05,0.002266912737771525,0.007253449990514138,9.886222043513173e-05,0.003001458421781699,0.0007800628003307734,0.0002069159427469609,0.0005297537202593583,0.0007879318764547873,0.002425621958576769,1.9301357016271195e-05,0.000215316608842772,0.03274863779395017,2.17069961354392e-07,6.846810421867174e-06,1.1964527865342624e-05
Serbs,0.058970609604126895,0.34593280678365707,0.31960767693464576,0.03649471258865701,0.000175255084212553,0.004307994465393791,1.5014454959565862e-06,9.645374314074653e-06,2.3341061175585453e-06,2.32167511306358e-05,0.00397450713183947,0.10486050509035882,0.0007229285112341195,5.79785104189992e-07,0.12246894750129333,0.0020181358000411686,0.0002332155653582467,2.8498726012925076e-05,1.1242634853196416e-06,0.00013006451642658446,3.184292288841579e-05,3.897048205972359e-06
Slovaks,0.0029336035000312806,0.023088607008270805,0.017437584209113375,0.15637561651772117,0.0014381454120083086,0.009451291074500871,0.6365721221808324,0.000690717208022728,0.03127375359640123,0.09754141002676724,0.021306698771988156,0.0016925731959005904,5.278594663666428e-06,7.758240505991155e-05,4.613139882101001e-05,1.3933683996963454e-05,1.5165252246304173e-05,3.629798254950624e-05,3.51820890396027e-08,3.3551030107597593e-06,2.5602966858203304e-08,7.209303779143733e-08
