Jonctiune,Cluster 1,Cluster 2,Distanta,Frecventa
0,121.0,126.0,13.123642786970393,2.0
1,8.0,166.0,14.146377628212813,2.0
2,76.0,83.0,16.578600664712326,2.0
3,30.0,82.0,16.99499926448954,2.0
4,16.0,34.0,17.776670104381193,2.0
5,182.0,193.0,18.46645607581487,3.0
6,65.0,81.0,18.695186546274417,2.0
7,97.0,175.0,22.905239575258758,2.0
8,40.0,184.0,22.910914429590104,2.0
9,142.0,183.0,25.21269521491108,2.0
10,3.0,160.0,25.30145538613729,2.0
11,63.0,100.0,25.86155447764113,2.0
12,9.0,199.0,26.15970183316316,3.0
13,194.0,196.0,26.29039748653489,4.0
14,165.0,195.0,26.498113140372844,3.0
15,99.0,197.0,27.068123934497812,3.0
16,120.0,198.0,28.584173942935628,4.0
17,150.0,204.0,28.63086912174806,3.0
18,61.0,111.0,32.549602751940036,2.0
19,26.0,71.0,32.98651239521996,2.0
20,60.0,201.0,34.81891248541038,3.0
21,6.0,185.0,35.44079570212836,2.0
22,113.0,151.0,36.40054944640259,2.0
23,17.0,23.0,36.51355912534411,2.0
24,43.0,213.0,36.98308171763588,4.0
25,91.0,139.0,38.46348918130023,2.0
26,129.0,187.0,38.77241287307252,2.0
27,33.0,104.0,38.89987146508327,2.0
28,35.0,132.0,41.12189197982019,2.0
29,105.0,147.0,42.97648539682036,2.0
30,42.0,155.0,45.09800439043838,2.0
31,156.0,214.0,45.69686349557629,3.0
32,66.0,210.0,45.727981951244395,4.0
33,5.0,84.0,45.890412942138575,2.0
34,24.0,130.0,47.32515187508647,2.0
35,85.0,203.0,47.426719184484234,3.0
36,1.0,170.0,47.73426442294885,2.0
37,207.0,209.0,48.481771242985154,7.0
38,62.0,225.0,49.26675349563842,5.0
39,2.0,122.0,49.35007598778345,2.0
40,167.0,200.0,49.496969604209106,3.0
41,154.0,230.0,50.14838339510913,8.0
42,48.0,208.0,50.896332546330555,4.0
43,44.0,181.0,52.272459287850616,2.0
44,57.0,93.0,52.34061520463817,2.0
45,56.0,148.0,52.47513696980695,2.0
46,90.0,137.0,53.294371184957235,2.0
47,135.0,223.0,54.121067986505956,3.0
48,79.0,80.0,54.24066740002376,2.0
49,11.0,54.0,54.430781732398444,2.0
50,37.0,163.0,54.843778133895924,2.0
51,25.0,176.0,54.98654380846281,2.0
52,136.0,227.0,57.20999329953932,3.0
53,14.0,50.0,57.70606553907484,2.0
54,146.0,219.0,57.95762820083881,3.0
55,32.0,220.0,58.01448095087984,3.0
56,15.0,180.0,58.721972037730474,2.0
57,145.0,216.0,59.322283615293614,3.0
58,58.0,172.0,59.325542559676606,2.0
59,55.0,212.0,59.62580537541331,3.0
60,47.0,96.0,60.44236924542254,2.0
61,211.0,228.0,60.56920124609788,5.0
62,29.0,70.0,61.02343812011906,2.0
63,144.0,226.0,61.27906113292969,3.0
64,143.0,149.0,62.40008012815368,2.0
65,46.0,157.0,63.100554672680964,2.0
66,107.0,131.0,64.7125953736983,2.0
67,108.0,233.0,65.63870809210066,4.0
68,102.0,221.0,67.02081766138042,3.0
69,67.0,205.0,67.48333127521195,4.0
70,51.0,74.0,69.89241732834829,2.0
71,173.0,174.0,70.26250778331215,2.0
72,10.0,186.0,70.67595064801039,2.0
73,125.0,152.0,70.79554925550983,2.0
74,45.0,240.0,71.7915036755743,4.0
75,127.0,260.0,72.12001109262256,5.0
76,38.0,41.0,72.29591966356054,2.0
77,27.0,253.0,72.39327777264036,3.0
78,110.0,258.0,72.91721333128413,3.0
79,124.0,248.0,73.00452040798571,4.0
80,19.0,238.0,73.30675275852832,3.0
81,52.0,169.0,74.50067113791661,2.0
82,7.0,229.0,74.80668419332594,3.0
83,138.0,224.0,75.70456833419411,4.0
84,206.0,254.0,76.09244993409494,9.0
85,64.0,244.0,77.36321261857385,3.0
86,217.0,235.0,77.93187730319345,8.0
87,88.0,115.0,79.63673775337611,2.0
88,12.0,239.0,81.99749996188908,3.0
89,36.0,188.0,84.0452259203341,2.0
90,87.0,141.0,84.52070752188483,2.0
91,94.0,241.0,84.7017709378027,3.0
92,116.0,119.0,84.8994110698066,2.0
93,222.0,262.0,86.45390664072471,6.0
94,21.0,275.0,89.23617539989037,4.0
95,109.0,245.0,89.49732770684646,4.0
96,98.0,237.0,90.64101352772558,3.0
97,247.0,264.0,91.28816644742807,5.0
98,13.0,78.0,91.42986383015125,2.0
99,243.0,273.0,92.8911621199778,5.0
100,189.0,215.0,94.24703732732468,3.0
101,69.0,242.0,94.8415345018556,3.0
102,236.0,281.0,96.01582161289879,5.0
103,86.0,257.0,96.02487524941996,3.0
104,161.0,250.0,96.73451641821893,4.0
105,231.0,259.0,96.78968658163653,7.0
106,31.0,263.0,97.36458973021627,3.0
107,18.0,92.0,97.9323235709232,2.0
108,232.0,261.0,98.06199059778461,5.0
109,75.0,297.0,104.45525357778803,5.0
110,103.0,284.0,105.39658438488414,4.0
111,53.0,278.0,106.31405520124483,4.0
112,162.0,285.0,108.06114010133338,3.0
113,101.0,202.0,108.15390268809844,3.0
114,279.0,288.0,112.49098852797054,12.0
115,191.0,192.0,112.82849817311228,2.0
116,246.0,276.0,114.77918655691313,6.0
117,168.0,177.0,116.33434574535588,2.0
118,190.0,218.0,117.98101542197371,3.0
119,268.0,296.0,118.07073021428018,8.0
120,39.0,256.0,119.58811256419537,4.0
121,252.0,255.0,123.17893218133258,5.0
122,4.0,270.0,123.85541301587642,4.0
123,234.0,286.0,124.41950927890596,14.0
124,28.0,171.0,125.83985855046087,2.0
125,133.0,274.0,127.30727918439439,3.0
126,73.0,251.0,128.06581641223912,3.0
127,59.0,68.0,129.06300786825017,2.0
128,114.0,293.0,130.46953387890298,4.0
129,298.0,305.0,132.47302582574522,10.0
130,266.0,302.0,132.9104742364866,7.0
131,117.0,159.0,135.23564618842178,2.0
132,72.0,300.0,135.93304724508067,3.0
133,140.0,287.0,141.20419611328836,5.0
134,134.0,291.0,144.668978476152,3.0
135,271.0,299.0,146.7878287415774,6.0
136,179.0,306.0,154.70914107877832,4.0
137,282.0,301.0,155.14853343996333,7.0
138,267.0,313.0,156.139536953329,8.0
139,22.0,95.0,156.88196199691026,2.0
140,269.0,280.0,160.8231792995027,4.0
141,77.0,128.0,168.11043988997233,2.0
142,106.0,178.0,168.22577091516033,2.0
143,249.0,311.0,172.46001855502627,5.0
144,304.0,326.0,175.29167280722595,9.0
145,292.0,320.0,177.6113912048275,7.0
146,307.0,309.0,180.50985507106745,18.0
147,20.0,318.0,187.94639306639186,4.0
148,321.0,328.0,195.4965684901678,10.0
149,118.0,158.0,203.30634520348843,2.0
150,290.0,312.0,212.88203522861417,13.0
151,272.0,314.0,212.90476639933536,9.0
152,265.0,336.0,214.84015120881983,7.0
153,49.0,324.0,217.0168657040277,3.0
154,277.0,316.0,222.68116333816914,23.0
155,319.0,335.0,226.24013053980207,5.0
156,123.0,344.0,227.86912130528887,10.0
157,303.0,337.0,234.1193216121573,13.0
158,330.0,331.0,242.5386475830781,15.0
159,89.0,327.0,247.87816899974604,4.0
160,289.0,338.0,252.3179906010516,10.0
161,317.0,346.0,254.49800392144536,5.0
162,153.0,329.0,260.85930115677303,5.0
163,112.0,322.0,261.2926652416614,11.0
164,283.0,342.0,263.72916031413746,4.0
165,294.0,340.0,271.71778251217444,7.0
166,323.0,351.0,275.409441464193,22.0
167,308.0,332.0,307.10398890278196,4.0
168,325.0,356.0,312.22882870078064,14.0
169,339.0,347.0,318.83907517241994,41.0
170,310.0,345.0,347.745325530871,9.0
171,0.0,357.0,363.7532982668336,5.0
172,348.0,361.0,385.4378802723887,19.0
173,315.0,333.0,395.90223224932697,8.0
174,349.0,366.0,398.23617078590706,18.0
175,341.0,343.0,398.2547243105282,23.0
176,164.0,354.0,407.49396232745994,6.0
177,334.0,352.0,410.54256782945174,6.0
178,295.0,359.0,440.1674107701021,27.0
179,353.0,368.0,449.79897259824236,33.0
180,365.0,370.0,493.1026509124059,25.0
181,350.0,372.0,542.9551183577134,46.0
182,358.0,371.0,573.7440913195165,34.0
183,355.0,367.0,582.4949090611227,23.0
184,363.0,364.0,657.7349146882807,14.0
185,374.0,375.0,895.2787208778137,80.0
186,360.0,369.0,1020.0417592758967,10.0
187,373.0,377.0,1113.3375565204717,39.0
188,376.0,379.0,1284.3303461450193,33.0
189,362.0,378.0,1805.040385655248,121.0
190,380.0,381.0,2144.873490655988,72.0
191,382.0,383.0,4516.26424335093,193.0
