CountryId,Country,Valoare adaugata
1,Afghanistan,21666
2,Albania,25015
3,Algeria,29963
4,Argentina,30830
5,Australia,29080
6,Austria,20617
7,Bangladesh,24211
8,Belgium,24150
9,Brazil,27684
10,Canada,21832
11,Chile,25719
12,China,20090
13,Colombia,26436
14,Croatia,30704
15,Cuba,27599
16,Czech Republic,27585
17,Denmark,27332
18,Egypt,30826
19,Ethiopia,24765
20,Finland,30101
21,France,24138
22,Germany,24427
23,Ghana,24735
24,Greece,21062
25,Hungary,24666
26,India,23046
27,Indonesia,25220
28,Iran,31815
29,Iraq,25462
30,Ireland,31315
31,Israel,28081
32,Italy,31595
33,Japan,27848
34,Kenya,21694
35,Malaysia,26210
36,Mexico,28570
37,Morocco,26793
38,Nepal,25198
39,Netherlands,29948
40,New Zealand,32914
41,Nigeria,21916
42,Norway,24687
43,Pakistan,20756
44,Peru,21681
45,Philippines,30100
46,Poland,26062
47,Portugal,27656
48,Romania,28636
49,Russia,28456
50,Saudi Arabia,26112
