Siruta,Judet
1017,AB
1213,AB
1348,AB
1874,AB
1151,AB
2915,AB
1455,AB
1696,AB
1794,AB
8096,AB
1936,AB
9262,AR
9459,AR
9495,AR
9538,AR
9574,AR
9627,AR
9654,AR
11584,AR
12091,AR
9690,AR
13169,AG
13490,AG
13622,AG
13301,AG
13668,AG
13757,AG
13392,AG
20297,BC
20563,BC
20876,BC
20778,BC
20821,BC
22166,BC
20910,BC
20965,BC
40198,BV
40278,BV
40241,BV
40438,BV
40394,BV
40367,BV
40303,BV
40465,BV
42682,BR
42753,BR
43331,BR
43411,BR
44818,BZ
44845,BZ
47916,BZ
48325,BZ
48744,BZ
50790,CS
51010,CS
50889,CS
50923,CS
50969,CS
51056,CS
92569,CL
100610,CL
101458,CL
54975,CJ
55259,CJ
55008,CJ
55357,CJ
55384,CJ
55446,CJ
60419,CT
60482,CT
60847,CT
61069,CT
62360,CT
60776,CT
60455,CT
60801,CT
62397,CT
60507,CT
60687,CT
60534,CT
