Siruta,Localitate,Categorie
1017,Alba Iulia,Barbati_25-34
1213,Aiud,Femei_18-24
1348,Blaj,Barbati_18-24
1874,Sebeș,Barbati_45-64
1151,Abrud,Femei_25-34
2915,Baia de Arieș,Femei_25-34
1455,Câmpeni,Barbati_35-44
1696,Cugir,Femei_45-64
1794,Ocna Mureș,Femei_45-64
8096,Teiuș,Femei_65_
1936,Zlatna,Femei_45-64
9262,Arad,Barbati_18-24
9459,Chișineu-Criș,Barbati_25-34
9495,Curtici,Femei_35-44
9538,Ineu,Femei_18-24
9574,Lipova,Femei_65_
9627,Nădlac,Femei_45-64
9654,Pâncota,Barbati_65_
11584,Pecica,Femei_25-34
12091,Sântana,Barbati_45-64
9690,Sebiș,Barbati_18-24
13169,Pitești,Femei_25-34
13490,Câmpulung,Femei_18-24
13622,Curtea de Argeș,Barbati_25-34
13301,Mioveni,Femei_18-24
13668,Costești,Barbati_25-34
13757,Topoloveni,Barbati_65_
13392,Ștefănești,Femei_65_
20297,Bacău,Barbati_18-24
20563,Onești,Femei_25-34
20876,Moinești,Femei_45-64
20778,Buhuși,Barbati_65_
20821,Comănești,Barbati_65_
22166,Dărmănești,Femei_25-34
20910,Slănic Moldova,Femei_65_
20965,Târgu Ocna,Femei_25-34
40198,Brașov,Femei_18-24
40278,Făgăraș,Barbati_65_
40241,Codlea,Barbati_18-24
40438,Săcele,Barbati_35-44
40394,Rupea,Femei_18-24
40367,Râșnov,Barbati_65_
40303,Predeal,Femei_25-34
40465,Victoria,Barbati_35-44
42682,Brăila,Femei_25-34
42753,Făurei,Femei_45-64
43331,Ianca,Femei_45-64
43411,Însurăței,Femei_25-34
44818,Buzău,Femei_65_
44845,Râmnicu Sărat,Femei_35-44
47916,Nehoiu,Barbati_65_
48325,Pătârlagele,Femei_35-44
48744,Pogoanele,Femei_65_
50790,Reșița,Barbati_25-34
51010,Caransebeș,Femei_18-24
50889,Anina,Femei_65_
50923,Băile Herculane,Barbati_35-44
50969,Bocșa,Barbati_35-44
51056,Moldova Nouă,Femei_35-44
92569,Călărași,Barbati_65_
100610,Oltenița,Barbati_25-34
101458,Budești,Barbati_18-24
54975,Cluj-Napoca,Femei_65_
55259,Turda,Femei_25-34
55008,Dej,Femei_18-24
55357,Câmpia Turzii,Barbati_18-24
55384,Gherla,Femei_18-24
55446,Huedin,Femei_18-24
60419,Constanța,Femei_65_
60482,Mangalia,Barbati_35-44
60847,Medgidia,Barbati_65_
61069,Băneasa,Barbati_45-64
62360,Basarabi,Femei_35-44
60776,Cernavodă,Femei_35-44
60455,Eforie,Femei_65_
60801,Hârșova,Barbati_45-64
62397,Negru Vodă,Barbati_45-64
60507,Năvodari,Femei_35-44
60687,Ovidiu,Femei_65_
60534,Techirghiol,Femei_35-44
