Siruta,Localitate,Judet
1017,Alba Iulia,AB
1213,Aiud,AB
1348,Blaj,AB
1874,Sebeș,AB
1151,Abrud,AB
2915,Baia de Arieș,AB
1455,Câmpeni,AB
1696,Cugir,AB
1794,Ocna Mureș,AB
8096,Teiuș,AB
1936,Zlatna,AB
9262,Arad,AR
9459,Chișineu-Criș,AR
9495,Curtici,AR
9538,Ineu,AR
9574,Lipova,AR
9627,Nădlac,AR
9654,Pâncota,AR
11584,Pecica,AR
12091,Sântana,AR
9690,Sebiș,AR
13169,Pitești,AG
13490,Câmpulung,AG
13622,Curtea de Argeș,AG
13301,Mioveni,AG
13668,Costești,AG
13757,Topoloveni,AG
13392,Ștefănești,AG
20297,Bacău,BC
20563,Onești,BC
20876,Moinești,BC
20778,Buhuși,BC
20821,Comănești,BC
22166,Dărmănești,BC
20910,Slănic Moldova,BC
20965,Târgu Ocna,BC
40198,Brașov,BV
40278,Făgăraș,BV
40241,Codlea,BV
40438,Săcele,BV
40394,Rupea,BV
40367,Râșnov,BV
40303,Predeal,BV
40465,Victoria,BV
42682,Brăila,BR
42753,Făurei,BR
43331,Ianca,BR
43411,Însurăței,BR
44818,Buzău,BZ
44845,Râmnicu Sărat,BZ
47916,Nehoiu,BZ
48325,Pătârlagele,BZ
48744,Pogoanele,BZ
50790,Reșița,CS
51010,Caransebeș,CS
50889,Anina,CS
50923,Băile Herculane,CS
50969,Bocșa,CS
51056,Moldova Nouă,CS
92569,Călărași,CL
100610,Oltenița,CL
101458,Budești,CL
54975,Cluj-Napoca,CJ
55259,Turda,CJ
55008,Dej,CJ
55357,Câmpia Turzii,CJ
55384,Gherla,CJ
55446,Huedin,CJ
60419,Constanța,CT
60482,Mangalia,CT
60847,Medgidia,CT
61069,Băneasa,CT
62360,Basarabi,CT
60776,Cernavodă,CT
60455,Eforie,CT
60801,Hârșova,CT
62397,Negru Vodă,CT
60507,Năvodari,CT
60687,Ovidiu,CT
