CountryID,Country,Continent
1,Morocco,Asia
2,Botswana,Europe
3,Latvia,South America
4,Saudi Arabia,Asia
5,Nepal,South America
6,Malaysia,Africa
7,Malawi,Oceania
8,Hungary,Asia
9,Portugal,North America
10,Cameroon,South America
11,Tunisia,North America
12,Georgia,Asia
13,Bulgaria,Africa
14,Finland,Europe
15,Sudan,Oceania
16,Armenia,South America
17,Mozambique,South America
18,Egypt,Africa
19,Bhutan,South America
20,Iceland,Africa
21,Ireland,Europe
22,Ukraine,Africa
23,France,South America
24,Israel,Africa
25,Belarus,Europe
26,Singapore,Africa
27,Chile,Africa
28,Colombia,Oceania
29,South Korea,North America
30,Pakistan,North America
31,Serbia,North America
32,Lithuania,Africa
33,Qatar,North America
34,Tajikistan,Africa
35,Senegal,Africa
36,Thailand,North America
37,Denmark,North America
38,South Africa,Europe
39,New Zealand,South America
40,United Kingdom,Asia
41,Sweden,Europe
42,Canada,Africa
43,Greece,Europe
44,Poland,Asia
45,Turkmenistan,Oceania
46,Australia,Africa
47,Namibia,South America
48,Mongolia,Africa
49,Norway,Oceania
50,Russia,Oceania
51,Kenya,South America
52,Japan,Africa
53,Angola,Africa
54,Mexico,Asia
55,Laos,Europe
56,Argentina,South America
57,Azerbaijan,Europe
58,Zimbabwe,South America
59,Oman,Asia
60,Estonia,Asia
61,Kuwait,Asia
62,Afghanistan,Oceania
63,Italy,Oceania
64,Indonesia,Oceania
65,Bangladesh,Asia
66,Nigeria,Africa
67,Peru,North America
68,Bahrain,Africa
69,Croatia,Asia
70,Romania,Africa
71,India,Europe
72,Spain,South America
73,Ivory Coast,Oceania
74,Netherlands,Africa
75,Luxembourg,Oceania
76,Uzbekistan,Africa
77,Ghana,Oceania
78,Ethiopia,Asia
79,Slovakia,Africa
80,Switzerland,Oceania
81,Kyrgyzstan,Europe
82,Cambodia,North America
83,Zambia,Africa
84,United States,Asia
85,United Arab Emirates,Europe
86,Vietnam,South America
87,China,Africa
88,Germany,Europe
89,Kazakhstan,Oceania
90,Myanmar,South America
91,Belgium,North America
92,Brazil,Oceania
93,Czech Republic,Asia
94,Slovenia,North America
95,Algeria,Africa
96,Austria,Africa
97,Turkey,Asia
98,Sri Lanka,North America
