CountryID,Country,GNI,ChangesInv,Exports_Imports,FinalConsExp,GrossCF,HouseholdConsExp,AgrHuntForFish,Construction,Manufacturing,MiningManUt,TradeT,TransportComm,Other
1,Morocco,28657,19513,25700,57888,9090,16922,1980,2884,4764,6973,3291,2568,6197
2,Botswana,16514,10961,5950,22738,12588,19086,2459,2445,3692,2922,1233,951,2813
3,Latvia,46860,19002,38835,38092,8210,36078,7442,7326,7366,7018,5107,7480,5122
4,Saudi Arabia,75845,18744,38663,57812,10507,47773,15520,17762,6134,10191,15216,6383,4639
5,Nepal,69372,6380,26341,39942,15070,13425,10256,9740,5092,10384,11857,10116,11927
6,Malaysia,58834,2608,7340,23623,5604,49656,8384,11150,2655,10804,7321,9117,9402
7,Malawi,30496,18874,5195,28741,14032,40787,4119,2470,5319,4591,4423,4032,5542
8,Hungary,2633,15072,10918,55484,17098,19549,454,549,285,204,517,497,127
9,Portugal,62653,11843,11000,41562,16382,21388,8698,6506,14402,8832,8344,9825,6046
10,Cameroon,62327,12053,19009,42982,14509,25435,8876,9844,3600,12426,12146,3316,12120
11,Tunisia,64264,1466,34002,29972,14358,47051,5623,14015,9298,10266,8224,8798,8040
12,Georgia,52415,12146,27032,29484,13571,21669,10384,8708,7051,10303,5593,7655,2719
13,Bulgaria,44943,13432,33594,37810,7596,13573,5606,3096,9246,6241,3852,8641,8262
14,Finland,72000,16001,11409,37258,12755,30993,3930,13560,8474,12874,13437,13886,5839
15,Sudan,14482,1932,7547,38007,7224,42159,2219,3677,1157,813,1399,2067,3149
16,Armenia,64464,2100,8845,38734,14786,34792,11117,12332,6832,11062,8978,7705,6438
17,Mozambique,43877,19288,19290,57979,6864,14136,5938,3604,12896,6628,5894,2911,6006
18,Egypt,74134,17652,39521,29416,8821,24286,6389,12812,13585,9375,5522,14209,12241
19,Bhutan,29871,15317,29896,19764,14190,23230,6335,3370,7045,3481,3873,3462,2306
20,Iceland,68656,13496,22226,39414,16244,48405,14027,9087,11083,7595,8832,10984,7050
21,Ireland,7039,9355,31560,35302,11427,21469,430,1531,927,650,994,1013,1495
22,Ukraine,76470,8419,27764,52624,12522,17219,7484,11204,11563,5718,15953,12175,12373
23,France,16493,5200,10230,21761,8644,9778,3096,2316,1445,864,2658,2845,3270
24,Israel,74740,12282,10984,30248,19710,37028,5593,12798,6825,16404,6810,11191,15119
25,Belarus,57816,8673,26939,10656,17583,43797,11597,3758,3338,7428,8831,8972,13892
26,Singapore,62396,9584,17940,55319,15976,19892,4679,7320,4612,11608,11973,8982,13222
