CountryID,Country,Valoare adaugata
1,Morocco,28657
2,Botswana,16515
3,Latvia,46861
4,Saudi Arabia,75845
5,Nepal,69372
6,Malaysia,58833
7,Malawi,30496
8,Hungary,2633
9,Portugal,62653
10,Cameroon,62328
11,Tunisia,64264
12,Georgia,52413
13,Bulgaria,44944
14,Finland,72000
15,Sudan,14481
16,Armenia,64464
17,Mozambique,43877
18,Egypt,74133
19,Bhutan,29872
20,Iceland,68658
21,Ireland,7040
22,Ukraine,76470
23,France,16494
24,Israel,74740
25,Belarus,57816
26,Singapore,62396
27,Chile,62431
28,Colombia,58112
29,South Korea,32457
30,Pakistan,26161
31,Serbia,42009
32,Lithuania,33855
33,Qatar,56603
34,Tajikistan,35136
35,Senegal,40120
36,Thailand,4531
37,Denmark,26050
38,South Africa,8988
39,New Zealand,9819
40,United Kingdom,79162
41,Sweden,75398
42,Canada,40983
43,Greece,61353
44,Poland,26851
45,Turkmenistan,61366
46,Australia,18071
47,Namibia,14719
48,Mongolia,12962
49,Norway,67759
50,Russia,29006
51,Kenya,5180
52,Japan,55529
53,Angola,56915
54,Mexico,12422
55,Laos,30674
56,Argentina,56066
57,Azerbaijan,10093
58,Zimbabwe,66556
59,Oman,56315
60,Estonia,37281
61,Kuwait,21771
62,Afghanistan,22778
63,Italy,1883
64,Indonesia,36089
65,Bangladesh,64472
66,Nigeria,29078
67,Peru,5000
68,Bahrain,27196
69,Croatia,65359
70,Romania,57416
71,India,43861
72,Spain,55133
73,Ivory Coast,41579
74,Netherlands,72414
75,Luxembourg,23997
76,Uzbekistan,12416
77,Ghana,58397
78,Ethiopia,34484
79,Slovakia,66402
80,Switzerland,8389
81,Kyrgyzstan,2390
82,Cambodia,28398
83,Zambia,12912
84,United States,32096
85,United Arab Emirates,39315
86,Vietnam,38371
87,China,76586
88,Germany,68501
89,Kazakhstan,41849
90,Myanmar,40027
91,Belgium,57417
92,Brazil,77024
93,Czech Republic,77544
94,Slovenia,44694
95,Algeria,18274
96,Austria,57918
97,Turkey,15112
98,Sri Lanka,72626
