CountryCode,Country,Emisii_total_tone
RO,Romania,1819591.0
BG,Bulgaria,1523490.0
PL,Poland,2326124.0
HU,Hungary,2178702.0
CZ,Czech Republic,1592372.0
SK,Slovakia,1989762.0
UA,Ukraine,1297742.0
RU,Russia,1189005.0
DE,Germany,1429613.0
FR,France,1537195.0
ES,Spain,1835749.0
IT,Italy,2175765.0
SE,Sweden,1127563.0
FI,Finland,1797567.0
NO,Norway,2068929.0
DK,Denmark,1192195.0
NL,Netherlands,2566895.0
BE,Belgium,2231835.0
LU,Luxembourg,1289022.0
AT,Austria,1551704.0
CH,Switzerland,1544189.0
IE,Ireland,2492847.0
PT,Portugal,2172226.0
GR,Greece,2073490.0
HR,Croatia,1772894.0
SI,Slovenia,2896921.0
EE,Estonia,1011088.0
LV,Latvia,1816659.0
LT,Lithuania,2292978.0
AL,Albania,729257.0
RS,Serbia,1814713.0
BA,Bosnia and Herzegovina,1485103.0
ME,Montenegro,2316955.0
MK,North Macedonia,997144.0
XK,Kosovo,1162392.0
CY,Cyprus,2703743.0
MT,Malta,1611130.0
IS,Iceland,1795314.0
LI,Liechtenstein,1656199.0
MC,Monaco,1742291.0
SM,San Marino,974499.0
VA,Vatican City,1465141.0
